Designator,Mid X,Mid Y,Layer,Rotation
R19,89.3572,39.2684,TOP,180
R21,72.0344,34.0106,TOP,180
R23,21.63318,0.75184,TOP,90
R26,44.41444,1.06934,TOP,180
R28,44.41444,2.16154,TOP,180
R29,72.0344,33.2486,TOP,180
R30,21.63318,2.80162,TOP,270
R34,30.94482,3.48742,TOP,0
R35,75.8952,38.9636,TOP,0
R36,44.41444,4.34594,TOP,180
R40,72.0344,31.7246,TOP,0
R41,44.41444,5.43814,TOP,180
R42,29.38018,5.50164,TOP,270
R44,75.8952,40.4622,TOP,180
R46,30.5054,28.829,TOP,90
R47,44.41444,6.53034,TOP,180
R48,32.67075,26.543,TOP,0
R49,31.8008,28.829,TOP,270
R50,22.73554,55.04815,TOP,90
R51,21.18614,55.04815,TOP,90
R53,15.26794,55.0418,TOP,90
R54,72.0344,30.9626,TOP,180
R58,33.4518,28.829,TOP,90
R59,34.9758,28.829,TOP,270
R60,108.576618,26.688288,TOP,180
R61,38.86454,9.38022,TOP,270
R62,37.21354,9.38022,TOP,270
R63,35.56254,9.38022,TOP,270
R67,32.9438,31.496,TOP,0
R71,39.69258,13.55344,TOP,180
R73,38.3794,30.226,TOP,0
R75,28.28036,16.442182,TOP,0
R76,44.77258,14.44244,TOP,90
R77,43.75658,14.44244,TOP,270
R78,42.74058,14.44244,TOP,90
R79,41.72458,14.44244,TOP,90
R82,28.28036,18.052542,TOP,0
R85,45.4787,16.112744,TOP,180
R87,24.08174,55.0418,TOP,270
R88,45.4787,17.052544,TOP,0
R89,28.28036,14.918182,TOP,180
R91,72.0344,20.7645,TOP,180
R94,45.4787,19.948144,TOP,0
R96,45.4787,20.887944,TOP,180
R97,28.28036,25.926542,TOP,180
R98,72.49922,18.839688,TOP,270
R101,45.52442,21.840444,TOP,180
R102,45.4914,22.987,TOP,0
R103,33.4264,18.796,TOP,0
R104,28.28036,22.792182,TOP,0
R110,28.28036,24.402542,TOP,0
R111,108.576618,17.74571,TOP,180
R112,108.576618,14.41831,TOP,0
R113,71.65848,13.1953,TOP,180
R114,121.17451,-5.307584,TOP,0
R117,60.741306,10.86104,TOP,90
R119,22.7838,48.6918,TOP,180
R122,110.7694,-13.0048,TOP,180
R124,58.32856,6.98754,TOP,90
R125,60.74156,6.98754,TOP,90
R126,108.576618,8.44931,TOP,180
R127,107.8992,-13.0048,TOP,180
R128,17.018,44.8056,TOP,90
R130,91.01709,3.24612,TOP,0
R132,121.17451,-7.099808,TOP,0
R133,86.350602,3.4925,TOP,180
R136,121.17451,-8.885936,TOP,0
R138,83.10626,-18.63598,TOP,0
R140,83.10626,-19.7485,TOP,180
R141,23.03526,38.80612,TOP,90
R142,24.49322,38.80612,TOP,90
R147,119.80926,37.0332,TOP,0
R148,119.80926,40.64,TOP,0
R151,119.55526,32.8422,TOP,0
R152,119.80926,30.4546,TOP,0
R153,119.80926,31.4452,TOP,0
R154,119.80926,39.1922,TOP,0
R155,119.80926,38.1762,TOP,0
R156,117.77726,30.2514,TOP,270
R157,119.80926,29.4894,TOP,0
R165,28.28036,28.212542,TOP,0
R166,28.28036,12.632182,TOP,0
R1098,72.0344,24.1046,TOP,180
R1099,72.0344,22.5806,TOP,180
R1340,127.9652,22.839172,TOP,0
R1341,127.9652,18.505678,TOP,0
R1344,72.0344,30.2006,TOP,180
R1345,17.55394,55.0418,TOP,90
R1349,124.37491,-6.650736,TOP,0
R1350,124.37491,-7.793736,TOP,0
R1352,7.5692,60.6298,TOP,180
R1353,7.5692,-19.84502,TOP,180
R1354,36.6268,-13.90904,TOP,90
R1355,38.0746,-13.90904,TOP,90
R1356,30.591252,-8.32866,TOP,270
R1357,35.9664,-2.892552,TOP,180
R1384,58.64606,52.446936,TOP,180
R1390,58.64606,51.5112,TOP,180
R1391,58.64606,50.7492,TOP,180
R1392,58.64606,45.4152,TOP,0
R1394,58.64606,44.6532,TOP,180
R1395,12.7,37.077142,TOP,180
R1401,72.0344,28.6766,TOP,180
R1402,72.0344,25.6286,TOP,180
R1403,72.0344,23.3426,TOP,180
R1404,72.0344,27.1526,TOP,180
R1405,114.6302,-20.32,TOP,0
R1406,96.3168,36.6522,TOP,90
R2224,119.9134,16.1036,TOP,90
R2424,124.7394,16.1036,TOP,90
R3324,130.0988,5.64134,TOP,270
R3424,130.0988,3.25374,TOP,90
R129727,72.0344,27.9146,TOP,0
R129728,72.0344,24.8666,TOP,0
R129729,72.0344,26.3906,TOP,0
R129730,72.0344,21.8186,TOP,0
R129735,122.936,-0.4826,TOP,270
R129739,122.174,-0.4826,TOP,270
R129746,120.65,-0.4826,TOP,270
R129747,121.412,-0.4826,TOP,270
R129748,16.41094,55.0418,TOP,270
R129749,58.32856,10.86104,TOP,90
SW1,35.13836,56.14416,TOP,0
SW3,35.13836,61.4426,TOP,180
TP16,74.7268,26.4414,TOP,0
TP17,74.7522,27.8638,TOP,0
TPH1,89.08288,37.22116,TOP,180
TPH2,75.2983,21.1455,TOP,180
TPH4,133.436106,-6.2484,TOP,0
TPH5,130.896106,-6.2484,TOP,0
TPH6,133.436106,-3.7084,TOP,0
TPH7,130.896106,-3.7084,TOP,0
TPV2,42.7101,-1.78816,TOP,90
TPV4,93.0783,37.7571,TOP,0
TPV7,33.2867,8.12292,TOP,180
TPV8,31.20136,8.12292,TOP,180
TPV10,108.703618,31.00705,TOP,0
TPV12,74.386948,18.077688,TOP,0
TPV14,56.007,12.1158,TOP,90
TPV15,20.6248,48.4378,TOP,90
U1,37.3507,-19.1643,TOP,180
U3,56.61406,32.777176,TOP,0
U7,74.5998,36.703,TOP,270
U10,37.3507,3.1623,TOP,180
U16,91.092528,20.32762,TOP,0
U17,40.5384,20.066,TOP,270
U18,109.0422,-18.034,TOP,270
U19,81.96326,-14.18844,TOP,90
U20,23.95982,44.3357,TOP,90
U21,37.3507,-8.32866,TOP,90
U44,132.2832,4.44754,TOP,90
U499,122.9106,7.0612,TOP,270
VSUP1,21.43506,-17.71904,TOP,180
VSUP2,90.2208,59.0296,TOP,0
VSUP3,90.2208,56.4896,TOP,0
VSUP4,90.2208,51.4096,TOP,0
VSUP5,90.2208,53.9496,TOP,0
VSUP6,65.2526,39.4462,TOP,0
VSUP7,62.7126,39.4462,TOP,0
VSUP8,67.7926,39.4462,TOP,0
VSUP9,70.3326,39.4462,TOP,0
VSUP10,62.7126,36.9062,TOP,0
VSUP11,65.2526,36.9062,TOP,0
VSUP12,67.7926,36.9062,TOP,0
VSUP13,70.3326,36.9062,TOP,0
VSUP14,52.5526,36.9062,TOP,0
VSUP15,55.0926,36.9062,TOP,0
VSUP16,47.4726,36.9062,TOP,0
VSUP17,50.0126,36.9062,TOP,0
VSUP18,50.0126,39.4462,TOP,0
VSUP19,47.4726,39.4462,TOP,0
VSUP20,55.0926,39.4462,TOP,0
VSUP21,52.5526,39.4462,TOP,0
VSUP22,57.6326,39.4462,TOP,0
VSUP23,57.6326,36.9062,TOP,0
VSUP24,60.1726,36.9062,TOP,0
VSUP25,60.1726,39.4462,TOP,0
VSUP26,90.2208,48.8696,TOP,0
Y3,35.77336,13.71854,TOP,180
Y4,91.224862,0.679958,TOP,180
Y5,86.196932,0.04572,TOP,180
Y111,131.8006,10.365486,TOP,180
